2024-04-28 07:50:58.7|Info|Bootstrap|Starting Radarr - /app/bin/Radarr - Version 5.4.6.8723
2024-04-28 07:50:58.9|Info|AppFolderInfo|Data directory is being overridden to [/config]
2024-04-28 07:50:58.9|Info|AppFolderInfo|Data directory is being overridden to [/config]
2024-04-28 07:50:59.3|Info|AppFolderInfo|Data directory is being overridden to [/config]
2024-04-28 07:50:59.5|Info|MigrationController|*** Migrating data source=/config/radarr.db;cache size=-20000;datetimekind=Utc;journal mode=Wal;pooling=True;version=3;busytimeout=100 ***
2024-04-28 07:50:59.6|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrating
2024-04-28 07:50:59.7|Info|FluentMigrator.Runner.MigrationRunner|PerformDBOperation 
2024-04-28 07:50:59.7|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Performing DB Operation
2024-04-28 07:50:59.7|Info|DatabaseEngineVersionCheck|SQLite 3.44.2
2024-04-28 07:50:59.7|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0853489s
2024-04-28 07:50:59.7|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrated
2024-04-28 07:50:59.7|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0878328s
2024-04-28 07:50:59.8|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrating
2024-04-28 07:50:59.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2024-04-28 07:50:59.8|Info|FluentMigrator.Runner.MigrationRunner|CreateTable VersionInfo
2024-04-28 07:50:59.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "VersionInfo" ("Version" INTEGER NOT NULL)
2024-04-28 07:50:59.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0407403s
2024-04-28 07:50:59.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2024-04-28 07:50:59.8|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrated
2024-04-28 07:50:59.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0659197s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrating
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex VersionInfo (Version)
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "UC_Version" ON "VersionInfo" ("Version" ASC)
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0030336s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0002913s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo AppliedOn DateTime
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "AppliedOn" DATETIME
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0019156s
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrated
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0154601s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrating
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 2.46E-05s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo Description String
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "Description" TEXT
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0006654s
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrated
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0054564s
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|1: InitialSetup migrating
2024-04-28 07:50:59.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2024-04-28 07:50:59.9|Info|InitialSetup|Starting migration of Main DB to 1
2024-04-28 07:50:59.9|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Config
